"table","distribution","heterogeneity","test","log_time_shift","task_id","paper_value","paper_printed_value","paper_n_sim","paper_page","z_low","z_high","n_sim","treatment_time_multiplier","empirical_rejection","monte_carlo_se","mean_z","sd_z","mean_completed_events","generator_version","input_file","available","variance_method","design_eligible","estimate","local_mc_se","paper_mc_se","difference","combined_mc_se","comparison_margin","comparison","rejection_ci_low","rejection_ci_high","nominal_p","nominal_p_holm"
"table3","exponential","medium","logrank",0.25,53,0.18,0.18,10000,95,0.1,1.9,10000,1.28402541668774,0.2384,0.00426104963594652,-1.24599113153149,1.01864472766057,2.3966205,"legacy_unversioned","zhao-2020-table-simulations-task-053-of-120.rds",TRUE,"pooled_risk",TRUE,0.2384,0.00426104963594652,0.00384187454245971,0.0584,0.0057372941357403,0.0117448898747638,"discrepant",0.230149949549962,0.246850958397576,,
"table3","weibull","medium","logrank",0.25,54,0.294,0.294,10000,95,0.1,1.9,10000,1.28402541668774,0.4871,0.00499833562298491,-1.9511613444511,1.04095030626921,2.3705715,"legacy_unversioned","zhao-2020-table-simulations-task-054-of-120.rds",TRUE,"pooled_risk",TRUE,0.4871,0.00499833562298491,0.00455591922667643,0.1931,0.00676311755036093,0.0137554668219182,"discrepant",0.477310275634392,0.496899631523571,,
"table3","lognormal","medium","logrank",0.25,55,0.361,0.361,10000,95,0.1,1.9,10000,1.28402541668774,0.4834,0.00499724364024809,-1.91990290777854,1.04949469129109,1.780684,"legacy_unversioned","zhao-2020-table-simulations-task-055-of-120.rds",TRUE,"pooled_risk",TRUE,0.4834,0.00499724364024809,0.00480290537071052,0.1224,0.0069311141961448,0.0140847341971781,"discrepant",0.473613835442178,0.493198913303729,,
"table3","loglogistic","medium","logrank",0.25,56,0.242,0.242,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00428294291346499,,,,"missing",,,,
"table3","exponential","high","logrank",0.25,57,0.169,0.169,10000,95,0.01,1.99,10000,1.28402541668774,0.2347,0.00423811172575712,-1.20037791252986,1.04004804776847,3.904061,"legacy_unversioned","zhao-2020-table-simulations-task-057-of-120.rds",TRUE,"pooled_risk",TRUE,0.2347,0.00423811172575712,0.00374751917940389,0.0657,0.00565733956909076,0.0115881818037312,"discrepant",0.226496298613379,0.243107450922102,,
"table3","weibull","high","logrank",0.25,58,0.255,0.255,10000,95,0.01,1.99,10000,1.28402541668774,0.4456,0.00497031829966653,-1.82901762754781,1.03703232347214,4.080626,"legacy_unversioned","zhao-2020-table-simulations-task-058-of-120.rds",TRUE,"pooled_risk",TRUE,0.4456,0.00497031829966653,0.0043586121644395,0.1906,0.00661071584626052,0.0134567649706988,"discrepant",0.435881092818282,0.455360686204448,,
"table3","lognormal","high","logrank",0.25,59,0.31,0.31,10000,95,0.01,1.99,10000,1.28402541668774,0.4345,0.00495691184105588,-1.79884810714344,1.03260284306675,3.1217345,"legacy_unversioned","zhao-2020-table-simulations-task-059-of-120.rds",TRUE,"pooled_risk",TRUE,0.4345,0.00495691184105588,0.00462493243193887,0.1245,0.00677945241151525,0.0137874825614731,"discrepant",0.424811616168473,0.444238687618086,,
"table3","loglogistic","high","logrank",0.25,60,0.21,0.21,10000,95,,,,,,,,,,,,FALSE,"pooled_risk",FALSE,,,0.00407308237088326,,,,"missing",,,,
"table3","exponential","low","logrank",0.5,61,0.601,0.601,10000,95,0.5,1.5,10000,1.64872127070013,0.8085,0.00393481575172205,-2.85900672632199,1.02761004465455,1.456329,"legacy_unversioned","zhao-2020-table-simulations-task-061-of-120.rds",TRUE,"pooled_risk",TRUE,0.8085,0.00393481575172205,0.00489692760820497,0.2075,0.00628193242561554,0.0128123613075208,"discrepant",0.80067001023765,0.816093062767643,,
"table3","weibull","low","logrank",0.5,62,0.948,0.948,10000,95,0.5,1.5,10000,1.64872127070013,0.9985,0.00038700775186034,-5.10796632565453,1.08791535075235,1.307489,"legacy_unversioned","zhao-2020-table-simulations-task-062-of-120.rds",TRUE,"pooled_risk",TRUE,0.9985,0.00038700775186034,0.00222027025382047,0.0505000000000001,0.00225374688019751,0.00491726271545662,"discrepant",0.997526415450029,0.999090738174407,,
"table3","lognormal","low","logrank",0.5,63,0.989,0.989,10000,95,0.5,1.5,10000,1.64872127070013,0.9982,0.000423882059068324,-4.93699171796934,1.0633474754364,0.953924,"legacy_unversioned","zhao-2020-table-simulations-task-063-of-120.rds",TRUE,"pooled_risk",TRUE,0.9982,0.000423882059068324,0.00104302444841912,0.00919999999999999,0.0011258667771988,0.00270665833469982,"discrepant",0.997156312014971,0.998861072008487,,
